brazilian,british,cajun_creole,chinese,filipino,french,greek,indian,irish,italian,jamaican,japanese,korean,mexican,moroccan,russian,southern_us,spanish,thai,vietnamese,n_zeros,max_score,class
0.02,0.02,0.01,0.21,0.1,0.02,0.0,0.25,0.0,0.06,0.01,0.08,0.03,0.09,0.0,0.01,0.07,0.0,0.01,0.01,4,0.25,valid
0.02,0.17,0.01,0.03,0.02,0.11,0.02,0.06,0.0,0.1,0.0,0.03,0.0,0.04,0.11,0.03,0.25,0.0,0.0,0.0,6,0.25,invalid
0.03,0.01,0.05,0.02,0.0,0.04,0.0,0.38,0.01,0.14,0.0,0.01,0.0,0.12,0.02,0.01,0.14,0.02,0.0,0.0,6,0.38,valid
0.03,0.0,0.02,0.04,0.0,0.08,0.0,0.24,0.01,0.01,0.0,0.05,0.0,0.5,0.0,0.01,0.01,0.0,0.0,0.0,9,0.5,invalid
0.01,0.01,0.01,0.03,0.0,0.0,0.01,0.24,0.13,0.02,0.0,0.02,0.0,0.29,0.0,0.0,0.2,0.03,0.0,0.0,8,0.29,valid
0.02,0.03,0.0,0.1,0.04,0.0,0.01,0.5,0.01,0.03,0.05,0.03,0.09,0.03,0.0,0.0,0.03,0.01,0.0,0.02,5,0.5,invalid
0.01,0.0,0.0,0.14,0.43,0.0,0.0,0.2,0.0,0.01,0.04,0.04,0.02,0.01,0.0,0.01,0.02,0.0,0.05,0.02,7,0.43,invalid
0.02,0.1,0.06,0.02,0.0,0.18,0.0,0.02,0.05,0.19,0.0,0.0,0.0,0.04,0.0,0.01,0.29,0.0,0.0,0.02,8,0.29,invalid
0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.79,0.0,0.0,0.01,0.06,0.01,0.05,0.04,0.01,0.0,0.01,0.0,0.0,10,0.79,valid
0.0,0.0,0.07,0.01,0.03,0.02,0.03,0.34,0.08,0.11,0.0,0.02,0.01,0.09,0.01,0.0,0.17,0.0,0.01,0.0,6,0.34,valid
0.0,0.02,0.02,0.09,0.05,0.06,0.0,0.14,0.06,0.17,0.03,0.05,0.0,0.09,0.03,0.02,0.09,0.02,0.02,0.04,3,0.17,invalid
0.0,0.0,0.0,0.71,0.05,0.03,0.0,0.02,0.0,0.05,0.0,0.03,0.03,0.02,0.0,0.0,0.02,0.0,0.02,0.02,9,0.71,invalid
0.02,0.02,0.0,0.02,0.01,0.02,0.0,0.24,0.02,0.13,0.13,0.01,0.0,0.02,0.0,0.12,0.23,0.0,0.01,0.0,6,0.24,invalid
0.05,0.0,0.01,0.0,0.02,0.09760896696346862,0.07,0.03239103303653139,0.04,0.21,0.0,0.0,0.0,0.06,0.0,0.13,0.28,0.0,0.0,0.0,9,0.28,invalid
